insert_Note(-12.85523f, -0.8f);
insert_Note(-10.81604f, 2.3f);
insert_Note(-8.575715f, -0.8f);
insert_Note(12.3108f, -0.8f);
insert_Note(15.44801f, -0.8f);
insert_Note(19.36952f, -0.8f);
insert_Note(21.09498f, -0.8f);
insert_Note(22.9773f, -0.8f);
insert_Note(25.80079f, 2.3f);
insert_Note(29.48112f, 2.3f);
insert_Note(33.32634f, 2.3f);
insert_Note(34.76859f, 2.3f);
insert_Note(36.20892f, 2.3f);
insert_Note(40.20962f, -0.8f);
insert_Note(43.67363f, -0.8f);
insert_Note(47.90886f, -0.8f);
insert_Note(49.47747f, -0.8f);
insert_Note(51.20293f, -0.8f);
insert_Note(54.81072f, 2.3f);
insert_Note(58.49105f, 2.3f);
insert_Note(62.49627f, 2.3f);
insert_Note(64.10107f, 2.3f);
insert_Note(65.54161f, 2.3f);
insert_Note(69.38239f, -0.8f);
insert_Note(73.47195f, -0.8f);
insert_Note(77.07973f, -0.8f);
insert_Note(78.0209f, 2.3f);
insert_Note(80.42129f, -0.8f);
insert_Note(83.90114f, -0.8f);
insert_Note(88.13637f, -0.8f);
insert_Note(91.90102f, -0.8f);
insert_Note(93.46962f, 2.3f);
insert_Note(94.90999f, -0.8f);
insert_Note(99.00627f, -0.8f);
insert_Note(102.9278f, -0.8f);
insert_Note(106.3787f, -0.8f);
insert_Note(107.9473f, 2.3f);
insert_Note(109.3877f, -0.8f);
insert_Note(113.3271f, -0.8f);
insert_Note(117.7192f, -0.8f);
insert_Note(121.1701f, -0.8f);
insert_Note(122.7387f, 2.3f);
insert_Note(124.3391f, -0.8f);
insert_Note(127.8075f, 2.3f);
insert_Note(132.2879f, 2.3f);
insert_Note(135.9761f, 2.3f);
insert_Note(137.7457f, -0.8f);
insert_Note(139.3369f, 2.3f);
insert_Note(143.4973f, 2.3f);
insert_Note(147.3394f, 2.3f);
insert_Note(150.5402f, 2.3f);
insert_Note(152.3018f, -0.8f);
insert_Note(153.7346f, 2.3f);
insert_Note(157.8951f, 2.3f);
insert_Note(161.7371f, 2.3f);
insert_Note(165.2579f, 2.3f);
insert_Note(167.0233f, -0.8f);
insert_Note(168.4567f, 2.3f);
insert_Note(172.4572f, 2.3f);
insert_Note(176.458f, 2.3f);
insert_Note(179.5f, 2.3f);
insert_Note(180.9408f, -0.8f);
insert_Note(182.5271f, 2.3f);
insert_Note(186.6876f, -0.8f);
insert_Note(190.6226f, -0.8f);
insert_Note(194.0736f, -0.8f);
insert_Note(195.6422f, 2.3f);
insert_Note(198.0426f, -0.8f);
insert_Note(201.2087f, 2.3f);
insert_Note(205.0491f, 2.3f);
insert_Note(208.7377f, 2.3f);
insert_Note(210.4987f, -0.8f);
insert_Note(211.9292f, 2.3f);
insert_Note(215.4496f, -0.8f);
insert_Note(219.8603f, -0.8f);
insert_Note(223.3112f, -0.8f);
insert_Note(224.8798f, 2.3f);
insert_Note(226.6402f, -0.8f);
insert_Note(230.7363f, 2.3f);
insert_Note(234.5767f, 2.3f);
insert_Note(237.9452f, 2.3f);
insert_Note(239.7114f, -0.8f);
insert_Note(241.3017f, 2.3f);
insert_Note(244.9822f, -0.8f);
insert_Note(248.3015f, -0.8f);
insert_Note(250.9681f, 2.3f);
insert_Note(260.3928f, -0.8f);
insert_Note(263.8437f, -0.8f);
insert_Note(266.9809f, 2.3f);
insert_Note(274.8369f, -0.8f);
insert_Note(278.2879f, -0.8f);
insert_Note(281.7388f, 2.3f);
insert_Note(289.9086f, -0.8f);
insert_Note(293.3595f, -0.8f);
insert_Note(296.0261f, 2.3f);
insert_Note(304.6665f, -0.8f);
insert_Note(308.4311f, -0.8f);
insert_Note(311.0977f, 2.3f);
insert_Note(319.895f, -0.8f);
insert_Note(323.5027f, -0.8f);
insert_Note(326.3262f, 2.3f);
insert_Note(334.6529f, -0.8f);
insert_Note(336.5352f, 2.3f);
insert_Note(339.0956f, -0.8f);
insert_Note(340.2292f, 2.3f);
insert_Note(342.7896f, -0.8f);
insert_Note(344.3939f, 2.3f);
insert_Note(346.1543f, -0.8f);
insert_Note(348.3679f, 2.3f);
insert_Note(350.1283f, -0.8f);
insert_Note(351.8713f, 2.3f);
insert_Note(354.4317f, -0.8f);
insert_Note(356.6633f, 2.3f);
insert_Note(358.5837f, -0.8f);
insert_Note(360.1709f, 2.3f);
insert_Note(364.1713f, -0.8f);
insert_Note(365.946f, 2.3f);
insert_Note(370.7465f, -0.8f);
insert_Note(372.6597f, 2.3f);
insert_Note(377.4602f, -0.8f);
insert_Note(380.0008f, 2.3f);
insert_Note(384.6413f, -0.8f);
insert_Note(387.3273f, 2.3f);
insert_Note(392.1277f, 2.3f);
insert_Note(394.3707f, -0.8f);
insert_Note(398.6308f, 2.3f);
insert_Note(401.3512f, -0.8f);
insert_Note(405.6308f, 2.3f);
insert_Note(408.6712f, -0.8f);
insert_Note(412.295f, 2.3f);
insert_Note(415.3354f, -0.8f);
insert_Note(420.5277f, -0.8f);
insert_Note(423.0375f, 2.3f);
insert_Note(428.2269f, -0.8f);
insert_Note(430.7367f, 2.3f);
insert_Note(435.5371f, -0.8f);
insert_Note(438.3915f, 2.3f);
insert_Note(443.512f, -0.8f);
